skill_name,family_name
Earnings Management,Economics & Finance & Accounting
Namecoin,Economics & Finance & Accounting
Financial Capital,Economics & Finance & Accounting
Rate of Return,Economics & Finance & Accounting
Certified Treasury Professional (CTP),Economics & Finance & Accounting
Risk Governance,Economics & Finance & Accounting
Cost Overrun,Economics & Finance & Accounting
Credit Valuation Adjustment (CVA),Economics & Finance & Accounting
Credit Insurance,Economics & Finance & Accounting
Average Directional Movement Index (ADX),Economics & Finance & Accounting
Financial Intelligence,Economics & Finance & Accounting
Price Override,Economics & Finance & Accounting
Term Life Insurance,Economics & Finance & Accounting
Consumer Credit Risk,Economics & Finance & Accounting
Fixed Asset Register (FAR),Economics & Finance & Accounting
Product Control,Economics & Finance & Accounting
Asset-Based Lending,Economics & Finance & Accounting
Commercial Bank,Economics & Finance & Accounting
Credit Risk Analysis,Economics & Finance & Accounting
Risk Return Ratio,Economics & Finance & Accounting
Cost Alocation,Economics & Finance & Accounting
Project Controlling,Economics & Finance & Accounting
Asset turnover (ATO),Economics & Finance & Accounting
Like for Like (LFL),Economics & Finance & Accounting
Commercial Mortgage,Economics & Finance & Accounting
Par Value,Economics & Finance & Accounting
Builders' Risk Insurance,Economics & Finance & Accounting
Rate Making,Economics & Finance & Accounting
Journal Entry,Economics & Finance & Accounting
Line of Credit,Economics & Finance & Accounting
Global Financial Data,Economics & Finance & Accounting
Risk Assurance,Economics & Finance & Accounting
Credit Derivative,Economics & Finance & Accounting
Interest Rate Derivative (IRD),Economics & Finance & Accounting
FactSet,Economics & Finance & Accounting
Manning Rule,Economics & Finance & Accounting
Capital Recovery Factor (CRF),Economics & Finance & Accounting
International Standards on Auditing (ISA),Economics & Finance & Accounting
Profitability Analysis,Economics & Finance & Accounting
Objectives and Key Results (OKR),Economics & Finance & Accounting
Certified Quality Auditor (CQA),Economics & Finance & Accounting
Short-term Loan provision,Economics & Finance & Accounting
Annuity,Economics & Finance & Accounting
Average Fixed Cost (AFC),Economics & Finance & Accounting
Days in Inventory,Economics & Finance & Accounting
Investment Accounting,Economics & Finance & Accounting
OTC Derivatives,Economics & Finance & Accounting
Plant Controlling,Economics & Finance & Accounting
Business Insurance,Economics & Finance & Accounting
Generally Accepted Accounting Principles (GAAP),Economics & Finance & Accounting
Revenue Recognition,Economics & Finance & Accounting
Fundamental Analysis,Economics & Finance & Accounting
Trial Balance,Economics & Finance & Accounting
Lexis Nexis,Economics & Finance & Accounting
Manufacturing Cost,Economics & Finance & Accounting
Indirect Taxation,Economics & Finance & Accounting
Average Propensity to Save,Economics & Finance & Accounting
"Earnings before interest, taxes, depreciation, and amortizations (EBITDA)",Economics & Finance & Accounting
Cost of Revenue,Economics & Finance & Accounting
Cash Flow Forecasting,Economics & Finance & Accounting
Capitaline,Economics & Finance & Accounting
Customs Optimization,Economics & Finance & Accounting
Regulatory Sandbox,Economics & Finance & Accounting
Financial Audit,Economics & Finance & Accounting
Tax Audit,Economics & Finance & Accounting
Legal Expenses Insurance,Economics & Finance & Accounting
Merchant Bank,Economics & Finance & Accounting
Settlement Date,Economics & Finance & Accounting
Debt-to-Income Ratio (DTI),Economics & Finance & Accounting
Cost Accounting,Economics & Finance & Accounting
Relevant Cost,Economics & Finance & Accounting
Cost Price,Economics & Finance & Accounting
Derivative securities,Economics & Finance & Accounting
Capital Budgeting,Economics & Finance & Accounting
Transaction Cost,Economics & Finance & Accounting
Credit Risk Policy,Economics & Finance & Accounting
Return on Capital (ROC),Economics & Finance & Accounting
Financing Cost,Economics & Finance & Accounting
Homeowners Policy,Economics & Finance & Accounting
Syndicate,Economics & Finance & Accounting
Treasury Management System (TMS),Economics & Finance & Accounting
Primary Insurance Amount,Economics & Finance & Accounting
Annuitant,Economics & Finance & Accounting
Collateral Loan,Economics & Finance & Accounting
Final Accounts,Economics & Finance & Accounting
Money Management,Economics & Finance & Accounting
Asset Management,Economics & Finance & Accounting
Sourcing Advisory,Economics & Finance & Accounting
Crowdfunding,Economics & Finance & Accounting
Cost–Volume–Profit Analysis (CVP),Economics & Finance & Accounting
Fund Accounting,Economics & Finance & Accounting
Accounting Transactions & Closing,Economics & Finance & Accounting
Collateral Protection Insurance,Economics & Finance & Accounting
Preferred Provider Organization,Economics & Finance & Accounting
Indemnity Insurance,Economics & Finance & Accounting
Electronic Data Processing,Economics & Finance & Accounting
Contribution Margin,Economics & Finance & Accounting
Commodity Exchanges,Economics & Finance & Accounting
Risk-Weighted Asset,Economics & Finance & Accounting
Gross Margin,Economics & Finance & Accounting
Lease Administration,Economics & Finance & Accounting
Profit Margin,Economics & Finance & Accounting
Management Buy-In (MBI),Economics & Finance & Accounting
Change the Bank (CtB),Economics & Finance & Accounting
P2P Lending & Payments,Economics & Finance & Accounting
Risk Pool,Economics & Finance & Accounting
Damage Waiver,Economics & Finance & Accounting
Average Cost,Economics & Finance & Accounting
Pension Insurance,Economics & Finance & Accounting
Universal Life Insurance,Economics & Finance & Accounting
Free Cash Flow,Economics & Finance & Accounting
Binary Option,Economics & Finance & Accounting
Variable Cost,Economics & Finance & Accounting
Value at Risk (VaR),Economics & Finance & Accounting
Outstanding Claim,Economics & Finance & Accounting
Average Propensity to Consume,Economics & Finance & Accounting
Deposit insurance,Economics & Finance & Accounting
Penalized Present Value (PPV),Economics & Finance & Accounting
Cost Object,Economics & Finance & Accounting
Credit Event,Economics & Finance & Accounting
Adverse Selection,Economics & Finance & Accounting
Letter of Credit,Economics & Finance & Accounting
Liability Insurance,Economics & Finance & Accounting
Trade Credit,Economics & Finance & Accounting
Contingent Value Rights (CVR),Economics & Finance & Accounting
Return on Assets (ROA),Economics & Finance & Accounting
Return on Equity,Economics & Finance & Accounting
Advance Corporation Tax (ACT),Economics & Finance & Accounting
Encumbrance,Economics & Finance & Accounting
Cash Flow Statement,Economics & Finance & Accounting
IFRS 13,Economics & Finance & Accounting
Valuation Risk,Economics & Finance & Accounting
Credit Reference,Economics & Finance & Accounting
Financial Condition Report (FCR),Economics & Finance & Accounting
Claimant,Economics & Finance & Accounting
Business Valuation,Economics & Finance & Accounting
Return on Tangible Equity (ROTE),Economics & Finance & Accounting
Management Accounting,Economics & Finance & Accounting
Dividend Discount Model (DDM),Economics & Finance & Accounting
Surety Bond,Economics & Finance & Accounting
Financial Close Management (FCM),Economics & Finance & Accounting
Forward Rate Agreement (FRA),Economics & Finance & Accounting
Foreign Exchange Risk Management,Economics & Finance & Accounting
Liquidity Forecast,Economics & Finance & Accounting
Investment Value,Economics & Finance & Accounting
Fixed Assets Management,Economics & Finance & Accounting
Total Return Swap (TRS),Economics & Finance & Accounting
Commodity Futures,Economics & Finance & Accounting
Credit-Linked Note (CLN),Economics & Finance & Accounting
Monetary Policy,Economics & Finance & Accounting
Tally.ERP 9,Economics & Finance & Accounting
Property Insurance,Economics & Finance & Accounting
Internal Rate of Return,Economics & Finance & Accounting
Treasury Reporting,Economics & Finance & Accounting
Claim history,Economics & Finance & Accounting
Profit Maximization,Economics & Finance & Accounting
Certified Financial Manager (CFM),Economics & Finance & Accounting
Managment Buy-Out (MBO),Economics & Finance & Accounting
Net Operating Assets (NOA),Economics & Finance & Accounting
Participating Policy,Economics & Finance & Accounting
Book Value,Economics & Finance & Accounting
Carbon Accounting,Economics & Finance & Accounting
Growth Financing,Economics & Finance & Accounting
Average Accounting Return (AAR),Economics & Finance & Accounting
Undercapitalization,Economics & Finance & Accounting
Bancassurance,Economics & Finance & Accounting
Recovery Swap,Economics & Finance & Accounting
Loan Processing,Economics & Finance & Accounting
Subrogation,Economics & Finance & Accounting
Foreign Exchange Market (FOREX),Economics & Finance & Accounting
Total Shareholder Return,Economics & Finance & Accounting
Depletion,Economics & Finance & Accounting
Days Sales Outstanding (DSO),Economics & Finance & Accounting
Revenue-Based Financing,Economics & Finance & Accounting
IFRS 17,Economics & Finance & Accounting
Finance Lease,Economics & Finance & Accounting
Cost–Utility Analysis (CUA),Economics & Finance & Accounting
Equipment Trust Certificate (ETC),Economics & Finance & Accounting
Political Risk,Economics & Finance & Accounting
Customer Cost,Economics & Finance & Accounting
Cost Tracking,Economics & Finance & Accounting
IFRS 1,Economics & Finance & Accounting
Social Return on Investment (SROI),Economics & Finance & Accounting
Trading Activities,Economics & Finance & Accounting
Vehicle Leasing,Economics & Finance & Accounting
Asset Risk,Economics & Finance & Accounting
Forensic Accounting,Economics & Finance & Accounting
Cost Curve,Economics & Finance & Accounting
Income Statement,Economics & Finance & Accounting
Auditor's Report,Economics & Finance & Accounting
Caveat Emptor,Economics & Finance & Accounting
Portfolio Theory,Economics & Finance & Accounting
Credit Scorecards,Economics & Finance & Accounting
Average Variable Cost (AVC),Economics & Finance & Accounting
SME Finance,Economics & Finance & Accounting
Mortgage Operations,Economics & Finance & Accounting
Probability of Default,Economics & Finance & Accounting
Financial Innovation,Economics & Finance & Accounting
Pro Forma,Economics & Finance & Accounting
Convertible Bond,Economics & Finance & Accounting
Exposure at Default,Economics & Finance & Accounting
Subordinated Debt,Economics & Finance & Accounting
Municipal Bond,Economics & Finance & Accounting
Indirect Costs,Economics & Finance & Accounting
Paid-In Capital,Economics & Finance & Accounting
Factoring (finance),Economics & Finance & Accounting
Directors and Officers Liability Insurance,Economics & Finance & Accounting
Cost-Minimization Analysis,Economics & Finance & Accounting
Tax Advisor,Economics & Finance & Accounting
Life Settlements,Economics & Finance & Accounting
Price Calculation,Economics & Finance & Accounting
Capital Gain,Economics & Finance & Accounting
Engagement Letter,Economics & Finance & Accounting
Opportunity Cost,Economics & Finance & Accounting
Cyber Insurance,Economics & Finance & Accounting
IR35,Economics & Finance & Accounting
Sarbanes-Oxley Act (SOA),Economics & Finance & Accounting
Discounted Cash Flow,Economics & Finance & Accounting
Basis of Accounting,Economics & Finance & Accounting
Health Reimbursement Account,Economics & Finance & Accounting
Residual Income Valuation (RIV),Economics & Finance & Accounting
Historical Cost,Economics & Finance & Accounting
Federal Emergency Management Agency,Economics & Finance & Accounting
Loss Control,Economics & Finance & Accounting
Yield Gap,Economics & Finance & Accounting
Job Costing,Economics & Finance & Accounting
Statutory Liquidity Ratio (SLR),Economics & Finance & Accounting
Authorised Capital,Economics & Finance & Accounting
Condominium,Economics & Finance & Accounting
Recapitalization,Economics & Finance & Accounting
CRSP,Economics & Finance & Accounting
Net Capital Outflow (NCO),Economics & Finance & Accounting
Equivalent Annual Cost (EAC),Economics & Finance & Accounting
Channel Check,Economics & Finance & Accounting
Share Capital,Economics & Finance & Accounting
Certificate of Insurance,Economics & Finance & Accounting
Carrying Cost,Economics & Finance & Accounting
IOTA,Economics & Finance & Accounting
T+2,Economics & Finance & Accounting
Cost Auditing,Economics & Finance & Accounting
Governmental Accounting,Economics & Finance & Accounting
Project-Profitability (PCIS),Economics & Finance & Accounting
Redlining,Economics & Finance & Accounting
Basis Point Value (BPV),Economics & Finance & Accounting
Cost Center Planning,Economics & Finance & Accounting
Cost of Capital,Economics & Finance & Accounting
Captive Insurance,Economics & Finance & Accounting
Liquid Tradable Securities,Economics & Finance & Accounting
Statutory Auditor,Economics & Finance & Accounting
Social Accounting,Economics & Finance & Accounting
Rent-to-Own,Economics & Finance & Accounting
Commodity Risk,Economics & Finance & Accounting
Tranche,Economics & Finance & Accounting
Capital Cost,Economics & Finance & Accounting
Economic Order Quantity (EOQ),Economics & Finance & Accounting
Discounted Payback Period (DPP),Economics & Finance & Accounting
Model Audit,Economics & Finance & Accounting
Trade credit Insurance,Economics & Finance & Accounting
Partnership Taxation,Economics & Finance & Accounting
Days Payable Outstanding (DPO),Economics & Finance & Accounting
Personal liability Insurance,Economics & Finance & Accounting
Accounting Research,Economics & Finance & Accounting
Permanent Establishment (PE),Economics & Finance & Accounting
Cost Principle,Economics & Finance & Accounting
Tax Forecast,Economics & Finance & Accounting
Operating Cash Flow,Economics & Finance & Accounting
External Financing,Economics & Finance & Accounting
Loss Ratio,Economics & Finance & Accounting
Audit Management,Economics & Finance & Accounting
Tax Management,Economics & Finance & Accounting
Overnight Cost,Economics & Finance & Accounting
Customs Audit,Economics & Finance & Accounting
Deferred Tax Uncertainty,Economics & Finance & Accounting
Capital Account,Economics & Finance & Accounting
Insurance-Linked Securities (ILS),Economics & Finance & Accounting
Trading Statement,Economics & Finance & Accounting
Medical Malpractice,Economics & Finance & Accounting
Fire Insurance,Economics & Finance & Accounting
Title Insurance,Economics & Finance & Accounting
Commercial Paper,Economics & Finance & Accounting
Forward Freight Agreement (FFA),Economics & Finance & Accounting
Basis Risk,Economics & Finance & Accounting
Cost Per Paper (CPP),Economics & Finance & Accounting
Benefit Period,Economics & Finance & Accounting
Amortization,Economics & Finance & Accounting
Capital Structure,Economics & Finance & Accounting
Weighted Average Cost of Capital (WACC),Economics & Finance & Accounting
Base Erosion and Profit Shifting (BEPS),Economics & Finance & Accounting
Whole-Life Cost,Economics & Finance & Accounting
Accounting Period,Economics & Finance & Accounting
Local insurer,Economics & Finance & Accounting
Hospice,Economics & Finance & Accounting
International Tax Legislation,Economics & Finance & Accounting
Death Benefit,Economics & Finance & Accounting
Contract Profitability,Economics & Finance & Accounting
Excess Workers' Compensation,Economics & Finance & Accounting
Income Protection Insurance,Economics & Finance & Accounting
Internal Financing,Economics & Finance & Accounting
Novation Process,Economics & Finance & Accounting
IAS 16,Economics & Finance & Accounting
IFRS 16,Economics & Finance & Accounting
IAS 2,Economics & Finance & Accounting
Treasury Accounting,Economics & Finance & Accounting
Tax Refund,Economics & Finance & Accounting
Cost Benefit Analysis (CBA),Economics & Finance & Accounting
Automobile Liability Insurance,Economics & Finance & Accounting
Debt Settlement,Economics & Finance & Accounting
Expected Loss,Economics & Finance & Accounting
Net Interest Margin (NIM),Economics & Finance & Accounting
Life annuity,Economics & Finance & Accounting
Securities Processing,Economics & Finance & Accounting
Lending Management,Economics & Finance & Accounting
Offshore Account Opening,Economics & Finance & Accounting
Niche Insurance,Economics & Finance & Accounting
Umbrella Policy,Economics & Finance & Accounting
Investment Securities,Economics & Finance & Accounting
Mortgage Insurance,Economics & Finance & Accounting
Residual Value,Economics & Finance & Accounting
Parametric Insurance,Economics & Finance & Accounting
Cost-Volume-Profit analysis (CVP),Economics & Finance & Accounting
Virtual Currency,Economics & Finance & Accounting
Partnership Accounting,Economics & Finance & Accounting
Credit Sesame,Economics & Finance & Accounting
Wage Insurance,Economics & Finance & Accounting
Loss Incurred But Not Reported,Economics & Finance & Accounting
Bridge Loan,Economics & Finance & Accounting
Equity Risk,Economics & Finance & Accounting
National Association of Insurance Commissioners,Economics & Finance & Accounting
Mortgage Modification,Economics & Finance & Accounting
Loss Reserving,Economics & Finance & Accounting
Value of Life,Economics & Finance & Accounting
Bankruptcy Prediction,Economics & Finance & Accounting
Entity-Level Controls,Economics & Finance & Accounting
Equity Method,Economics & Finance & Accounting
Marginal Cost,Economics & Finance & Accounting
Inventory Valuation,Economics & Finance & Accounting
Generally Accepted Auditing Standards (GAAS),Economics & Finance & Accounting
Fixed annuity,Economics & Finance & Accounting
Hospital Indemnity Coverage,Economics & Finance & Accounting
Deferred Annuity,Economics & Finance & Accounting
Dividends Received Deduction (DRD),Economics & Finance & Accounting
Current Yield,Economics & Finance & Accounting
Accretion,Economics & Finance & Accounting
Bike Rental,Economics & Finance & Accounting
Borrowing Base,Economics & Finance & Accounting
Leasback,Economics & Finance & Accounting
Mortgage Guaranty,Economics & Finance & Accounting
Performance-Based Budgeting,Economics & Finance & Accounting
Inventory Theory,Economics & Finance & Accounting
Loan Covenant,Economics & Finance & Accounting
Credit Default Swap,Economics & Finance & Accounting
Public Float,Economics & Finance & Accounting
Credit Enhancement,Economics & Finance & Accounting
Revenue Center,Economics & Finance & Accounting
Economic Entity,Economics & Finance & Accounting
Convertible Security,Economics & Finance & Accounting
Cash Conversion Cycle,Economics & Finance & Accounting
Inventory Turnover,Economics & Finance & Accounting
Global Supply Chain Finance,Economics & Finance & Accounting
Guaranteed Asset Protection Insurance,Economics & Finance & Accounting
Vehicle Remarketing,Economics & Finance & Accounting
Net Lease,Economics & Finance & Accounting
Bookrunner,Economics & Finance & Accounting
Purchase Discount,Economics & Finance & Accounting
Disaster Recovery as a Service (DRaaS),Economics & Finance & Accounting
Lighter Capital,Economics & Finance & Accounting
Discounts and Allowances,Economics & Finance & Accounting
Cost Pool,Economics & Finance & Accounting
ConSolidated Financial Statement,Economics & Finance & Accounting
Potential Future Exposure,Economics & Finance & Accounting
Credit Counseling,Economics & Finance & Accounting
Co-insurance,Economics & Finance & Accounting
Additional Funds Needed (AFN),Economics & Finance & Accounting
Big Data Scoring,Economics & Finance & Accounting
Experience Rating,Economics & Finance & Accounting
Loss Adjustment Expense,Economics & Finance & Accounting
Shipping Insurance,Economics & Finance & Accounting
Adjusted Present Value (APV),Economics & Finance & Accounting
Forecast Period,Economics & Finance & Accounting
BoardEx,Economics & Finance & Accounting
Direct Finance,Economics & Finance & Accounting
Volatility Risk,Economics & Finance & Accounting
Purchasing Controlling,Economics & Finance & Accounting
Broadband,Electrical Engineering
Telephony,Electrical Engineering
Hardware in the Loop (HIL),Electrical Engineering
Control Systems,Electrical Engineering
Electrical Engineering,Electrical Engineering
Signal Processing,Electrical Engineering
Segmentation,Electrical Engineering
Physical Design,Electrical Engineering
Circuit Diagram,Electrical Engineering
Gas Turbine,Electrical Engineering
Observability,Electrical Engineering
5G,Electrical Engineering
Energy Efficiency,Electrical Engineering
Graphics Processing Unit (GPU),Electrical Engineering
Microprocessor,Electrical Engineering
Registers (Computer),Electrical Engineering
Concurrency,Electrical Engineering
Control Technology,Electrical Engineering
Mobile Phone,Electrical Engineering
Electronics,Electrical Engineering
Sensor,Electrical Engineering
Space Vector Modulation (SVM),Electrical Engineering
Channel (Communications),Electrical Engineering
Fixed Network,Electrical Engineering
Test Plan,Electrical Engineering
Electric Wiring,Electrical Engineering
Short Message Service (SMS),Electrical Engineering
Satellite,Electrical Engineering
Dynamic Random Access Memory (DRAM),Electrical Engineering
NAND Flash,Electrical Engineering
Light Detection And Ranging (LIDAR),Electrical Engineering
Semiconductors,Electrical Engineering
TCP/IP,Electrical Engineering
Virtual Private Network (VPN),Electrical Engineering
Audio Processing,Electrical Engineering
Bootloader,Electrical Engineering
Satellite Imagery,Electrical Engineering
Node,Electrical Engineering
Video Processing,Electrical Engineering
Diode Logic (DL),Electrical Engineering
Digital Signal Processor (DSP),Electrical Engineering
Telematics,Electrical Engineering
Modem,Electrical Engineering
Sustainable Energy,Electrical Engineering
Energy Storage,Electrical Engineering
Radio Network,Electrical Engineering
Radio Antenna,Electrical Engineering
Control Unit (CU),Electrical Engineering
Voltage Regulator,Electrical Engineering
Global Positioning System (GPS),Electrical Engineering
WIFI Protocol,Electrical Engineering
Central Processing Unit (CPU),Electrical Engineering
Realtime Field-Programmable Gate Arrays (FPGA),Electrical Engineering
IPC (Association Connecting Electronics Industries),Electrical Engineering
MQTT,Electrical Engineering
MTConnect,Electrical Engineering
Programmable Logic Controller (PLC),Electrical Engineering
IP/Ethernet,Electrical Engineering
Machine to Machine,Electrical Engineering
MODBUS,Electrical Engineering
Internet Access,Electrical Engineering
Flash (FLS),Electrical Engineering
Network Protocol,Electrical Engineering
Wafer,Electrical Engineering
PORT,Electrical Engineering
Accelerometer,Electrical Engineering
Magnetometer,Electrical Engineering
Battery,Electrical Engineering
Speech Processing,Electrical Engineering
Electric Generator,Electrical Engineering
Transport Layer Protocol,Electrical Engineering
Embedded Systems,Electrical Engineering
Energy Harvesting,Electrical Engineering
Wireless Communication,Electrical Engineering
Power Distribution,Electrical Engineering
Supervisory Control (SCADA),Electrical Engineering
Wind Power,Electrical Engineering
User Datagram Protocol (UDP),Electrical Engineering
Router,Electrical Engineering
Radar,Electrical Engineering
Hydropower,Electrical Engineering
4G,Electrical Engineering
Wireless LAN (WLAN),Electrical Engineering
Network Switch,Electrical Engineering
Industrial Control Systems,Electrical Engineering
Internet Protocol Security (IPSec),Electrical Engineering
General Purpose Timer (GPT),Electrical Engineering
Communications Engineering,Electrical Engineering
Sensor Fusion,Electrical Engineering
Electromagnetic Compatibility (EMC),Electrical Engineering
Generic Routing Encapsulation (GRE),Electrical Engineering
Cellular Network,Electrical Engineering
3D Sensor,Electrical Engineering
Software Defined Network (SDN),Electrical Engineering
Fast Fourier Transform (FFT),Electrical Engineering
System Architecture Evolution (SAE),Electrical Engineering
SAE J1939,Electrical Engineering
Processor Design,Electrical Engineering
Integrated Circuit,Electrical Engineering
Printed Circuit Boards (PCB),Electrical Engineering
Error correction and detection,Electrical Engineering
PCI Express,Electrical Engineering
3G,Electrical Engineering
FireWire,Electrical Engineering
Networking Hardware,Electrical Engineering
Digital Television,Electrical Engineering
BUS Systems,Electrical Engineering
Video Streaming,Electrical Engineering
Digital Image Processing,Electrical Engineering
Virtual Routing and Forwarding (VRF),Electrical Engineering
Quantization,Electrical Engineering
Power Optimization (EDA),Electrical Engineering
Logic Synthesis,Electrical Engineering
Wireless Access Points (WAP),Electrical Engineering
Circuit Design,Electrical Engineering
Universal Mobile Telecommunications System (UMTS),Electrical Engineering
Core Network (CN),Electrical Engineering
Power Engineering,Electrical Engineering
Positive Feedback,Electrical Engineering
IPv6,Electrical Engineering
Uninterruptible Power Supply (UPS),Electrical Engineering
Wide Area Network (WAN),Electrical Engineering
Camera Sensor,Electrical Engineering
Interrupt Processing,Electrical Engineering
Energy Source,Electrical Engineering
CAN,Electrical Engineering
Long-Term Evolution (LTE),Electrical Engineering
Sensor Technology,Electrical Engineering
ATM,Electrical Engineering
Galileo,Electrical Engineering
Energy Supply,Electrical Engineering
Internet Control Message Protocol (ICMP),Electrical Engineering
Medium Access Control (MAC),Electrical Engineering
OSI Model,Electrical Engineering
Built-in self-test (BIST),Electrical Engineering
Voice over IP (VoIP),Electrical Engineering
Unified Communication,Electrical Engineering
System Identification,Electrical Engineering
Control theory,Electrical Engineering
Audio Noise Reduction,Electrical Engineering
High Voltage,Electrical Engineering
Low Voltage,Electrical Engineering
Power Supply,Electrical Engineering
Smart Grid,Electrical Engineering
AC/DC Converter,Electrical Engineering
Pulse Width Modulation (PWM),Electrical Engineering
Circuit Simulation,Electrical Engineering
Power Inverter,Electrical Engineering
Power Converter,Electrical Engineering
Power Electronics,Electrical Engineering
Enhanced Data rates for Global Evolution (EDGE),Electrical Engineering
Local Area Network (LAN),Electrical Engineering
2G,Electrical Engineering
Blackberry,Electrical Engineering
Electrochemical - Hydrogen,Electrical Engineering
3rd Generation Partnership Project (3GPP),Electrical Engineering
Radio Access Network (RAN),Electrical Engineering
Image Editing,Electrical Engineering
Lithium-ion Battery,Electrical Engineering
Global System for Mobile Communications (GSM),Electrical Engineering
Resistor–Transistor Logic (RTL),Electrical Engineering
Xilinx Hardware,Electrical Engineering
ADSL (Asymmetric Digital Subscriber Line),Electrical Engineering
Digital Image,Electrical Engineering
DSL,Electrical Engineering
Random-Access Memory (RAM),Electrical Engineering
WebSocket,Electrical Engineering
Border Gateway Protocol (BGP),Electrical Engineering
Mechanical -  FlyWheels,Electrical Engineering
Inter-Integrated Circuit (I2C),Electrical Engineering
Serial Peripheral Interface (SPI),Electrical Engineering
Coaxial cable,Electrical Engineering
Battery Cell,Electrical Engineering
Sample and Hold,Electrical Engineering
InfiniBand,Electrical Engineering
CAMEL Application Part (CAP),Electrical Engineering
S-Video,Electrical Engineering
Amplifier,Electrical Engineering
Interactive Voice Response System (IVRS),Electrical Engineering
IEEE 802.11,Electrical Engineering
Integrated Circuit Design (IC Design),Electrical Engineering
Power Management Integrated Circuit (PMIC),Electrical Engineering
Test Equipment,Electrical Engineering
Audio Electronics,Electrical Engineering
Digital Audio Broadcasting (DAB),Electrical Engineering
Motion Control,Electrical Engineering
iPad,Electrical Engineering
Bluetooth,Electrical Engineering
Wireless Sensor Network (WSN),Electrical Engineering
3D Camera,Electrical Engineering
Internet Service Provider (ISP),Electrical Engineering
5G NR,Electrical Engineering
Mixed-signal Integrated Circuit,Electrical Engineering
ARM (Cortex),Electrical Engineering
Advanced Message Queuing Protocol (AMQP),Electrical Engineering
Cable Tray,Electrical Engineering
Radio-Frequency Identification (RFID),Electrical Engineering
Gating,Electrical Engineering
Transistor,Electrical Engineering
Local Control Network (LCN),Electrical Engineering
Wavelength-Division Multiplexing (WDM),Electrical Engineering
Internet Group Management Protocol (IGMP),Electrical Engineering
Multiprotocol Label Switching (MPLS),Electrical Engineering
Open Shortest Path First (OSPF),Electrical Engineering
Battery Management System,Electrical Engineering
C-RAN (Cloud-RAN),Electrical Engineering
Biosensor,Electrical Engineering
ZigBee,Electrical Engineering
Distributed Control System (DCS),Electrical Engineering
Fourier Transform,Electrical Engineering
MicroController,Electrical Engineering
Microelectromechanical Systems (MEMS),Electrical Engineering
Image Sensor,Electrical Engineering
Timer,Electrical Engineering
Constrained Application Protocol (CoAP),Electrical Engineering
Siemens - ProfiBus,Electrical Engineering
Non-volatile memory (NVM),Electrical Engineering
SRAM (Static random-access memory),Electrical Engineering
Programmable Logic Device (PLD),Electrical Engineering
Freescale 32-bit (MPC56xx),Electrical Engineering
Reduced Instruction Set Computer (RISC) Architecture,Electrical Engineering
Universal Verification Methodology (UVM),Electrical Engineering
Functional Verification,Electrical Engineering
Mentor Graphics - ModelSim,Electrical Engineering
Electricity Generation,Electrical Engineering
Network Engineering,Electrical Engineering
Three-Phase Electric Power,Electrical Engineering
IPv4,Electrical Engineering
Graphics Display Controller (GDC),Electrical Engineering
Access Network,Electrical Engineering
Intelligent Control,Electrical Engineering
Application Specific Integrated Circuit (ASIC),Electrical Engineering
Memory Management Unit (MMU),Electrical Engineering
USB (Universal Serial Bus),Electrical Engineering
Etching,Electrical Engineering
CAN Calibration Protocol (CCP),Electrical Engineering
Video Codec,Electrical Engineering
Antenna Amplifier,Electrical Engineering
Least squares,Electrical Engineering
iPhone,Electrical Engineering
Gas Sensor,Electrical Engineering
Mobile Communication,Electrical Engineering
Neuromorphic Engineering,Electrical Engineering
DSP Programming,Electrical Engineering
Electrode,Electrical Engineering
Discrete Sine Transform (DST),Electrical Engineering
Input Capture Unit (ICU),Electrical Engineering
Idle Mode,Electrical Engineering
Industrial Ethernet (IE),Electrical Engineering
Boundary Scan (BS),Electrical Engineering
In-Circuit Test (ICT),Electrical Engineering
Schematic Capture Program,Electrical Engineering
Fiber Optic Communication,Electrical Engineering
Fiber Optic,Electrical Engineering
GeoFence,Electrical Engineering
Realtime Embedded Systems,Electrical Engineering
Digital Electronics,Electrical Engineering
PowerPC Architecture,Electrical Engineering
Solar Energy,Electrical Engineering
Interface Analysis,Electrical Engineering
ARC,Electrical Engineering
Digital Camera,Electrical Engineering
Electrical Testing,Electrical Engineering
DIAC,Electrical Engineering
Inductor,Electrical Engineering
Predictive Control Model,Electrical Engineering
Failsafe,Electrical Engineering
Passive Infrared Sensor (PIR),Electrical Engineering
Signal Integrity,Electrical Engineering
Design For Testing (DFT),Electrical Engineering
State of Health (SOH),Electrical Engineering
Dt. Telekom - Hotspot,Electrical Engineering
Digital Imaging,Electrical Engineering
Gunning Transceiver Logic,Electrical Engineering
Modulation,Electrical Engineering
Voltage Converter,Electrical Engineering
BIOS,Electrical Engineering
Switched-Mode Power Supply,Electrical Engineering
Optical Flow,Electrical Engineering
DIAMETER,Electrical Engineering
Sensor Network,Electrical Engineering
Current Mode Logic (CML),Electrical Engineering
Adaptive Control,Electrical Engineering
Energy Engineering,Electrical Engineering
Transmission Line,Electrical Engineering
Round-Trip Delay Time (RTD),Electrical Engineering
Emitter-Coupled Logic (ECL),Electrical Engineering
Optimal Control,Electrical Engineering
Peering,Electrical Engineering
Kalman Filter,Electrical Engineering
GEMS,Electrical Engineering
Electromagnetic Interference (EMI),Electrical Engineering
Main Distribution Frame (MDF),Electrical Engineering
MultiMediaCard (MMC),Electrical Engineering
